🧘‍♂️ Top 2557 all days (stability 2-9, sorted by fire desc):

163. 1993-01-22T13:10 | meditate=true | fire=5.5 | peace=0.5 | stability=7 | growth=11.25 | avgFirePeace=3.00
164. 1993-03-11T13:10 | meditate=false | fire=5.5 | peace=6.5 | stability=9 | growth=7.80 | avgFirePeace=6.00
165. 1993-03-14T13:10 | meditate=true | fire=5.5 | peace=5 | stability=7 | growth=8.45 | avgFirePeace=5.25
166. 1993-04-20T13:10 | meditate=true | fire=5.5 | peace=0 | stability=8 | growth=12.00 | avgFirePeace=2.75
167. 1993-04-22T13:10 | meditate=false | fire=5.5 | peace=2.5 | stability=9 | growth=9.75 | avgFirePeace=4.00
168. 1993-04-23T13:10 | meditate=true | fire=5.5 | peace=2 | stability=7 | growth=9.75 | avgFirePeace=3.75
169. 1993-04-26T13:10 | meditate=true | fire=5.5 | peace=1.5 | stability=8 | growth=9.10 | avgFirePeace=3.50
170. 1993-06-07T13:10 | meditate=false | fire=5.5 | peace=1 | stability=8 | growth=9.75 | avgFirePeace=3.25
171. 1993-06-13T13:10 | meditate=false | fire=5.5 | peace=2 | stability=9 | growth=9.75 | avgFirePeace=3.75
172. 1993-07-28T13:10 | meditate=false | fire=5.5 | peace=-1 | stability=8 | growth=12.35 | avgFirePeace=2.25
173. 1994-03-13T13:10 | meditate=true | fire=5.5 | peace=3 | stability=8 | growth=7.15 | avgFirePeace=4.25
174. 1988-01-31T13:10 | meditate=true | fire=5 | peace=1.5 | stability=7 | growth=11.70 | avgFirePeace=3.25
175. 1988-02-02T13:10 | meditate=true | fire=5 | peace=1.5 | stability=7 | growth=11.20 | avgFirePeace=3.25
176. 1988-02-11T13:10 | meditate=false | fire=5 | peace=1.5 | stability=9 | growth=9.10 | avgFirePeace=3.25
177. 1988-02-26T13:10 | meditate=true | fire=5 | peace=1.5 | stability=7 | growth=9.10 | avgFirePeace=3.25
178. 1988-03-09T13:10 | meditate=false | fire=5 | peace=4.5 | stability=8 | growth=7.70 | avgFirePeace=4.75
179. 1988-04-01T13:10 | meditate=true | fire=5 | peace=2.5 | stability=6 | growth=8.40 | avgFirePeace=3.75
180. 1988-05-12T13:10 | meditate=false | fire=5 | peace=5.5 | stability=6 | growth=6.30 | avgFirePeace=5.25
181. 1988-05-16T13:10 | meditate=false | fire=5 | peace=10 | stability=6 | growth=4.20 | avgFirePeace=7.50
182. 1988-05-18T13:10 | meditate=false | fire=5 | peace=7 | stability=7 | growth=5.40 | avgFirePeace=6.00
183. 1988-05-30T13:10 | meditate=false | fire=5 | peace=4 | stability=7 | growth=7.80 | avgFirePeace=4.50
184. 1988-07-01T13:10 | meditate=true | fire=5 | peace=7.5 | stability=6 | growth=4.80 | avgFirePeace=6.25
185. 1988-08-29T13:10 | meditate=false | fire=5 | peace=8 | stability=7 | growth=5.40 | avgFirePeace=6.50
186. 1989-08-16T13:10 | meditate=false | fire=5 | peace=9.5 | stability=9 | growth=3.50 | avgFirePeace=7.25
187. 1989-10-07T13:10 | meditate=false | fire=5 | peace=7 | stability=8 | growth=6.60 | avgFirePeace=6.00
188. 1989-10-25T13:10 | meditate=false | fire=5 | peace=7 | stability=9 | growth=5.40 | avgFirePeace=6.00
189. 1989-10-27T13:10 | meditate=false | fire=5 | peace=7 | stability=9 | growth=5.40 | avgFirePeace=6.00
190. 1989-10-28T13:10 | meditate=false | fire=5 | peace=5.5 | stability=9 | growth=6.00 | avgFirePeace=5.25
191. 1989-11-11T13:10 | meditate=false | fire=5 | peace=9.5 | stability=9 | growth=3.60 | avgFirePeace=7.25
192. 1989-11-15T13:10 | meditate=false | fire=5 | peace=9.5 | stability=9 | growth=3.60 | avgFirePeace=7.25
193. 1989-12-07T13:10 | meditate=false | fire=5 | peace=5.5 | stability=6 | growth=6.50 | avgFirePeace=5.25
